Job_Title,Years_of_Professional_Experience_Overall,Total_Compensation
"Lab Project Technician","5-7 years",22737
"Product Marketer","5-7 years",72500
"Software Dev","21 - 30 years",63000
"Medical Intern","5-7 years",60200
"Executive Assistant to Agency Head","8 - 10 years",84000
"Executive Assistant - SVP","11 - 20 years",92000
"Further Education Funding and Data Consultant","21 - 30 years",66000
"Accessibility lead","11 - 20 years",153000
"Medical Lab Technician, ASCP","5-7 years",58000
"Director - IT Strategy","11 - 20 years",229000
"Senior Site Reliability Engineer","2 - 4 years",112300
Unemployed,"21 - 30 years",0
"Data Architect","11 - 20 years",410000
"Assistant to the CEO/Office Manager","8 - 10 years",51500
"Junior Developer","11 - 20 years",44500
"Sales engineer","11 - 20 years",490000
"Design Assistant","2 - 4 years",47840
"Postdoctoral research associate","2 - 4 years",38000
"Security Consultant","11 - 20 years",125000
"Programme Manager","5-7 years",38950
"Head of Platform","11 - 20 years",165000
"MSP Engineer II","21 - 30 years",55000
Architect,"8 - 10 years",271000
"Software Development Engineer II","5-7 years",144055
"Associate Technical Staff","2 - 4 years",125000
"Manager, Technical Writing","21 - 30 years",135000
"Account Care Representative","2 - 4 years",37440
"Senior Business Development Manager","11 - 20 years",181250
"Junior Media Buyer","2 - 4 years",59000
"Sales executive","11 - 20 years",213000
"Retail Communications Lead","5-7 years",32000
"Software development engineer","5-7 years",337000
"PR Manager (Account Supervisor)","11 - 20 years",110000
"Web Designer","2 - 4 years",52000
"Sr Mechanical Engineer","8 - 10 years",100000
"Quality Manager, Testing Captain, Team Lead","8 - 10 years",103000
"Visitor Services Assistant Manager","5-7 years",21000
"Contact Tracing Lead Investigator","11 - 20 years",62400
"E-commerce Assistant","2 - 4 years",19760
"State Field Director","8 - 10 years",65360
"Customer Success Manager - Implementation Manager and Technical Support","21 - 30 years",69000
"Software Quality Assurance and Release Manager","8 - 10 years",81000
"Sr. Payroll Specialist","11 - 20 years",90000
"Sr. IT Manager","11 - 20 years",112500
"Director of Finance & Operations, Faculty Member","11 - 20 years",64600
"Sales & Marketing Manager","5-7 years",45500
"Software Development Engineer","21 - 30 years",135000
"media finance analyst","2 - 4 years",51000
"Senior Manager Customer Support","11 - 20 years",120000
"Director of Finance & Operations","41 years or more",125045
"Executive Assistant to Functional Directors","21 - 30 years",30300
"Service Manager","21 - 30 years",60000
"Assistant Director of Communications","5-7 years",65847
"Analyst programmer","21 - 30 years",51500
"Senior Software Engineer, Backend","11 - 20 years",158000
"Associate Brand Manager","11 - 20 years",129000
"Financial Analyst II","11 - 20 years",80200
"Sales Excellence Manager","11 - 20 years",179000
"VP, Learning and Development","11 - 20 years",180000
"VP Product Design","11 - 20 years",242000
"Senior Product Line Manager","11 - 20 years",370000
"R&D Engineer","1 year or less",92000
"Processing Center Rep","21 - 30 years",43100
"Community Outreach Coordinator","5-7 years",44200
"Sales and Trading","5-7 years",400000
"Agile Coach","31 - 40 years",100000
"Director of Email Marketing & Sales Operations","11 - 20 years",70000
"All Source Intelligence Analyst","8 - 10 years",110000
"Product Development Artist","5-7 years",41891
"Community Program Manager","11 - 20 years",105000
"Production engineer and supervisor","2 - 4 years",80000
"Director, Business Development","5-7 years",148500
Writer/Editor,"21 - 30 years",89487
"Online Course Developer","1 year or less",106000
"Talent Acquisition Advisor","21 - 30 years",96800
"Brand Management","5-7 years",130000
"Network Security Engineer","11 - 20 years",115000
"Corporate Educator","8 - 10 years",37360
"Quality assurance technician","8 - 10 years",65000
"Library Assistant Director","11 - 20 years",86670
"Donation/Development Coordinator","2 - 4 years",42000
"Help Desk Technician","5-7 years",51760
"Director of SaaS Infrastructure and Operations","21 - 30 years",175000
"Help Desk Support Specialist","11 - 20 years",80000
"Library department manager (non-IT)","21 - 30 years",80000
Server,"5-7 years",13000
"Senior Advisor, Data Science","8 - 10 years",106160
"Archivist -- Project Manager","5-7 years",70000
"Filing manager","11 - 20 years",62000
Owner,"5-7 years",120000
Na,"11 - 20 years",103000
"Dean of University Libraries","11 - 20 years",170000
Writer,"31 - 40 years",72000
acupuncturist,"11 - 20 years",110000
"benefit payments representative","11 - 20 years",45677
"Director of Data and Reporting","21 - 30 years",141000
"SEO Coordinator","5-7 years",45000
Software-Developer,"8 - 10 years",61000
"Civil servant","2 - 4 years",59000
"Associate Librarian","21 - 30 years",78686
"Staff Software Engineering Manager","8 - 10 years",260000
"Articling Student","1 year or less",65500
"Senior Human Resources and Internal Operations Manager","21 - 30 years",106080
"Chief Information Officer","31 - 40 years",269000
"Postdoctoral research fellow","2 - 4 years",59000
"Case Coordinator","11 - 20 years",41000
"CPG Marketing Analyst","1 year or less",78000
"Technical Support","5-7 years",46900
"Provider Network Auditor","8 - 10 years",58700
"Director of Marketing and Communications","11 - 20 years",319000
"Frontend Designer","11 - 20 years",65500
"Collection Development Librarian","5-7 years",46500
"Clinical Research Associate","2 - 4 years",37440
"Executive Administrator","5-7 years",72000
"Technical Support Specialist I","8 - 10 years",24000
"Controls Engineer","11 - 20 years",85000
"validation engineer","5-7 years",100580
"Technology consultant","1 year or less",70000
"Creative Awards Manager","8 - 10 years",90000
"Assistant Vice President - Operations Supervisor","5-7 years",70000
"Senior Community Organizer","5-7 years",42000
"Development and Communications Manager","11 - 20 years",72000
"Speech-Language Pathology Clinical Fellow","11 - 20 years",52000
"Recruiting Manager","11 - 20 years",502000
"Graduate Research Assistant, Computer Science","2 - 4 years",36536
"Tier 2 Copyright Admin","11 - 20 years",51000
"Research fellow (lab/field technician)","21 - 30 years",42000
"Math Specialist","8 - 10 years",87500
"Associate Data Scientist","2 - 4 years",133000
"SharePoint Product Owner","21 - 30 years",109000
"Sr. Account Relationship Manager","21 - 30 years",115000
"Solutions Analyst","8 - 10 years",80000
"Customer service lead","11 - 20 years",70624
"Product Director","2 - 4 years",165000
"Postdoctoral Associate","2 - 4 years",58500
"Bid Manager","21 - 30 years",50000
"Manager of Data Science","11 - 20 years",1060000
"Vendor Manager","5-7 years",75000
"Chief of Operations, University Development","21 - 30 years",134000
"Mid-level SharePoint Developer","11 - 20 years",113460
"Administration Manager","11 - 20 years",20800
"Senior Supply Chain Planner","8 - 10 years",176000
"Content designer","21 - 30 years",52600
"Site Reliability Engineer SRE","21 - 30 years",200000
"Senior IT Project Manager","11 - 20 years",75000
"Social Worker for a State Agency","5-7 years",67000
"Interim Director of Cataloguing and Metadata Services","21 - 30 years",96000
"Staff sw engineer","21 - 30 years",200000
"Academic Support Coordinator","5-7 years",40000
"Team Member","5-7 years",24000
"Manager of Sales Operations","8 - 10 years",104000
"Graphic Designer and Production Manager","11 - 20 years",63600
Marketer,"5-7 years",62878
"Marketing Designer","8 - 10 years",108000
"HR Compliance Coordinator/Admin Assistant","21 - 30 years",38000
"Senior Video Journalist","5-7 years",115000
"Case Team Leader","5-7 years",150000
"Career Services Coordinator","5-7 years",49000
Registrar,"2 - 4 years",37440
"Application Developer","21 - 30 years",82000
"Portfolio Manager","11 - 20 years",412000
Welder,"8 - 10 years",35000
"Pro Bono Director","11 - 20 years",65000
"Administrative Assistant - HR","11 - 20 years",46450
"Full Stack Developer","2 - 4 years",159400
"Technical Support","2 - 4 years",30000
"Policy Counsel","5-7 years",85000
"Associate Director of Membership & Events","11 - 20 years",43000
"Operations Specialist","11 - 20 years",146000
"Hospice chaplain","11 - 20 years",58000
"Procurement Representative","1 year or less",60500
"Director, Analytics","11 - 20 years",466500
"Front office coordinator","2 - 4 years",45180
"Senior Director, Engineering","11 - 20 years",260000
"Executive Director of Digital Strategies","11 - 20 years",121000
"Head of Technical Services","31 - 40 years",62000
"Principal Data Science Manager","21 - 30 years",166800
"defence consultant","2 - 4 years",79500
"Health Officer","11 - 20 years",127000
"Senior Regulatory Affairs Specialist","8 - 10 years",110100
"Senior Manager Growth Marketing","11 - 20 years",227000
"Senior Leasing Representative","11 - 20 years",205000
"Document Layout Specialist","11 - 20 years",80000
"Land Negotiator","21 - 30 years",107000
"Contract analyst","11 - 20 years",68000
"Customer Experience Expert","2 - 4 years",38400
"Director of Research","21 - 30 years",92000
"Lead Director of Project Development","11 - 20 years",125000
"Compensation Manager","8 - 10 years",88000
"Sr. Manager of Project Controls","11 - 20 years",125500
"Director of College Counselling","11 - 20 years",97000
"Principal safety engineer","11 - 20 years",60500
Doctor,"5-7 years",48000
"Program Manager III","8 - 10 years",85600
"Trademark Paralegal Manager","11 - 20 years",105000
Developer,"2 - 4 years",52000
"QA Specialist- Compliance and Quality","21 - 30 years",73000
"Director, Social Media","8 - 10 years",145000
"Partnerships editor","1 year or less",30000
"Financial Controller","21 - 30 years",187000
"Continuous Improvement Manager","21 - 30 years",115000
"Graduate Research Assistant","1 year or less",34000
"Technical Development Research Associate","2 - 4 years",103000
"Associate Professor/Director","31 - 40 years",129320
"Senior Planner","21 - 30 years",101000
"Growth Marketing Lead","2 - 4 years",138000
"Manager of Executive Office and Administration","11 - 20 years",79000
"Program Officer","2 - 4 years",165000
"Client Experience Specialist","11 - 20 years",51100
"Chief Operations Officer","11 - 20 years",102000
"Library Assistant Director","5-7 years",60000
"Assistant nature-based preschool teacher","8 - 10 years",33448
"Procurement Executive","5-7 years",35350
"Concept Artist","5-7 years",69120
"Storyboard director","8 - 10 years",156000
"Strategic Communications Manager","11 - 20 years",50220
"Associate General Manager","11 - 20 years",72000
"Proposal Specialist","5-7 years",66950
"Associate Principal","8 - 10 years",85000
"Case worker","1 year or less",109274
"Sr. HR Manager","11 - 20 years",117542
"External Partnerships Director","5-7 years",58300
"Director of Product Design","11 - 20 years",200000
"sr project manager","11 - 20 years",141500
"Managing Partner","11 - 20 years",324000
"Associate Director of Academics","8 - 10 years",172206
"Head of Digital Library","11 - 20 years",85000
"Grants Coordinator B","8 - 10 years",60320
"Customer Support","11 - 20 years",236000
"Senior Security Engineer","5-7 years",135000
"Staff Researcher","11 - 20 years",195000
"Senior Customer Support Representative","8 - 10 years",80000
"Library Associate, Children's Department","2 - 4 years",41300
"Residential Supervisor","2 - 4 years",49500
"Professor of Physics","21 - 30 years",124000
"Internal Medicine physician","11 - 20 years",530000
"Laundry Attendant","8 - 10 years",208240
"Customer Marketing Manager","11 - 20 years",270000
"Associate Director, Communications","11 - 20 years",170500
"Logistics technician","2 - 4 years",44720
"iOS Engineer","11 - 20 years",215000
"Director of Editorial Content & strategy","21 - 30 years",165000
"Pharmacist Manager","11 - 20 years",106320
"Business Operations (Data Analyst)","8 - 10 years",122000
"Graduate Student and TA","2 - 4 years",36250
"Director of Meetings &Membership","21 - 30 years",168000
"Biomedical Scientist","5-7 years",35300
"Project Officer","1 year or less",26765
"Data Integrity Specialist","2 - 4 years",40000
Psychotherapist,"8 - 10 years",105000
"Manager, Strategic Messaging","11 - 20 years",117000
"Youth pastor","11 - 20 years",45000
optometrist,"21 - 30 years",162000
"Sr copywriter","31 - 40 years",150000
"Owner, event planning company","21 - 30 years",110000
"Jewellery Designer","11 - 20 years",86200
"CSR II","8 - 10 years",51000
SWE,"11 - 20 years",140000
"Market Intelligence Strategy Leader","8 - 10 years",139500
"Clinical Trial Associate","8 - 10 years",101000
"Vice President, Analytics","21 - 30 years",184000
"Senior Event Programmer","8 - 10 years",50000
"Agile Journey Owner","21 - 30 years",157000
"Regional Administrative Secretary","11 - 20 years",52000
"Team support officer","8 - 10 years",26420
"Director of Advocacy","8 - 10 years",114000
"Real Estate Services Assistant","8 - 10 years",49000
"2D Artist","2 - 4 years",33600
"User experience designer","21 - 30 years",180000
"Director of Software","5-7 years",200000
"Support Engineer","31 - 40 years",75000
"Owner/Licensed Clinical Psychologist","21 - 30 years",185000
"Talent Management Specialist II","5-7 years",74000
"Architectural Designer","8 - 10 years",55000
"Director, IT","21 - 30 years",265000
"Production Scheduler","11 - 20 years",75500
"Associate Director/Program Officer","11 - 20 years",83000
"Principal software developer","11 - 20 years",200000
"Infection Prevention Associate","2 - 4 years",70000
"Middle School Teacher","5-7 years",52000
"Penetration Tester","21 - 30 years",110000
"Human Resource Generalist","5-7 years",59000
"Senior Legal Counsel","8 - 10 years",167000
"Grants Director","2 - 4 years",55000
"Senior HR Generalist","5-7 years",89900
